Year,Gender,Intent,Intent,Drug type,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,Not stated,All ages
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,75,126,"7,426","24,070","26,908","21,875",108,"19,399","5,646",800,256,10,"106,699"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,43,104,"6,312","20,279","21,100","15,599",72,"13,080","3,420",312,82,8,"80,411"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,"1,118","3,056","3,203","2,374",0,"2,016",595,91,39,7,"12,499"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,147,331,295,210,0,153,22,0,0,1,"1,159"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,12,"1,157","4,794","6,025","5,722",0,"5,411","1,275",81,0,9,"24,486"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,360,"2,153","2,412","1,916",0,"1,797",491,34,0,10,"9,173"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,73,600,905,819,0,936,309,21,0,15,"3,678"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,40,93,"5,936","18,585","19,000","13,467",60,"10,792","2,452",146,22,8,"70,601"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,593,"2,698","3,158","2,924",10,"2,927","1,068",169,61,10,"13,618"
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,29,0,"1,502","7,478","9,220","7,315",0,"5,643","1,260",67,0,23,"32,537"
2021,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,26,33,"6,735","22,602","25,255","20,193",64,"17,811","4,886",513,142,8,"98,268"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,12,25,"6,021","19,376","20,137","14,698",52,"12,210","3,035",183,30,6,"75,785"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,"1,049","2,889","2,961","2,114",0,"1,730",442,26,0,13,"11,224"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,145,323,287,205,0,149,20,0,0,1,"1,130"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,0,0,"1,109","4,593","5,776","5,470",0,"5,226","1,251",79,0,9,"23,513"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,349,"2,103","2,350","1,882",0,"1,764",486,34,0,6,"8,974"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,67,547,834,755,0,847,290,20,0,3,"3,363"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,12,23,"5,692","17,817","18,226","12,835",47,"10,249","2,294",110,20,0,"67,325"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,532,"2,544","2,954","2,624",0,"2,566",826,64,16,7,"12,133"
2021,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,12,0,"1,430","7,254","8,935","7,115",0,"5,545","1,241",62,0,13,"31,607"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,35,59,"2,311","6,709","7,967","6,912",59,"6,122","1,718",357,148,1,"32,398"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,25,50,"1,866","5,539","6,046","4,757",33,"4,155","1,008",123,51,1,"23,654"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,329,"1,012","1,241","1,097",0,986,299,57,29,6,"5,056"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,41,77,78,65,0,41,5,0,0,0,307
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,0,384,"1,402","1,784","1,614",0,"1,423",229,14,0,8,"6,858"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,126,552,615,510,0,465,94,5,0,5,"2,372"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,28,262,392,354,0,390,85,2,0,6,"1,519"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,24,42,"1,755","5,021","5,186","3,804",29,"3,056",583,55,15,1,"19,571"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,182,811,"1,222","1,236",0,"1,309",457,81,39,13,"5,350"
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,10,0,541,"2,119","2,700","2,072",0,"1,499",252,15,0,10,"9,218"
2021,Female,Preventable/accidental,Preventable/accidental,All drugs,12,15,"1,981","6,149","7,284","6,120",28,"5,349","1,321",189,84,1,"28,533"
