Year,Gender,Intent,Intent,Drug type,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,Not stated,All ages
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,75,126,7426,24070,26908,21875,108,19399,5646,800,256,10,106699
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,43,104,6312,20279,21100,15599,72,13080,3420,312,82,8,80411
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1118,3056,3203,2374,0,2016,595,91,39,7,12499
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,147,331,295,210,0,153,22,0,0,1,1159
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,12,1157,4794,6025,5722,0,5411,1275,81,0,9,24486
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,360,2153,2412,1916,0,1797,491,34,0,10,9173
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,73,600,905,819,0,936,309,21,0,15,3678
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,40,93,5936,18585,19000,13467,60,10792,2452,146,22,8,70601
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,593,2698,3158,2924,10,2927,1068,169,61,10,13618
2021,Both sexes,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,29,0,1502,7478,9220,7315,0,5643,1260,67,0,23,32537
2021,Both sexes,Preventable/accidental,Preventable/accidental,All drugs,26,33,6735,22602,25255,20193,64,17811,4886,513,142,8,98268
2021,Both sexes,Preventable/accidental,Preventable/accidental,Any Opioid,12,25,6021,19376,20137,14698,52,12210,3035,183,30,6,75785
2021,Both sexes,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,1049,2889,2961,2114,0,1730,442,26,0,13,11224
2021,Both sexes,Preventable/accidental,Preventable/accidental,Cannabis,0,0,145,323,287,205,0,149,20,0,0,1,1130
2021,Both sexes,Preventable/accidental,Preventable/accidental,Cocaine,0,0,1109,4593,5776,5470,0,5226,1251,79,0,9,23513
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,349,2103,2350,1882,0,1764,486,34,0,6,8974
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup - methadone,0,0,67,547,834,755,0,847,290,20,0,3,3363
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including fentanyl,12,23,5692,17817,18226,12835,47,10249,2294,110,20,0,67325
2021,Both sexes,Preventable/accidental,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,532,2544,2954,2624,0,2566,826,64,16,7,12133
2021,Both sexes,Preventable/accidental,Preventable/accidental,Psychostimulants – incl. methamphetamine,12,0,1430,7254,8935,7115,0,5545,1241,62,0,13,31607
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",All drugs,35,59,2311,6709,7967,6912,59,6122,1718,357,148,1,32398
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Any Opioid,25,50,1866,5539,6046,4757,33,4155,1008,123,51,1,23654
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Benzodiazepines,0,0,329,1012,1241,1097,0,986,299,57,29,6,5056
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cannabis,0,0,41,77,78,65,0,41,5,0,0,0,307
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Cocaine,0,0,384,1402,1784,1614,0,1423,229,14,0,8,6858
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,126,552,615,510,0,465,94,5,0,5,2372
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,28,262,392,354,0,390,85,2,0,6,1519
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,24,42,1755,5021,5186,3804,29,3056,583,55,15,1,19571
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,182,811,1222,1236,0,1309,457,81,39,13,5350
2021,Female,"All (preventable, intentional, undetermined)","All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,10,0,541,2119,2700,2072,0,1499,252,15,0,10,9218
2021,Female,Preventable/accidental,Preventable/accidental,All drugs,12,15,1981,6149,7284,6120,28,5349,1321,189,84,1,28533
2021,Female,Preventable/accidental,Preventable/accidental,Any Opioid,0,11,1750,5247,5708,4386,21,3764,825,52,20,9,21793
2021,Female,Preventable/accidental,Preventable/accidental,Benzodiazepines,0,0,300,937,1115,937,0,810,211,10,0,10,4330
2021,Female,Preventable/accidental,Preventable/accidental,Cannabis,0,0,39,75,74,63,0,38,4,0,0,0,293
2021,Female,Preventable/accidental,Preventable/accidental,Cocaine,0,0,365,1342,1701,1536,0,1373,224,14,0,3,6558
2021,Female,Preventable/accidental,Preventable/accidental,Opioid subgroup - heroin,0,0,123,535,601,498,0,454,91,0,0,7,2309
