"Drug poisoning death rates* by intent, age, sex, and drug type, 1999-2021",,,,,,,,,,,,,,,,,,,
Year,Gender,Intent,,Substance,,,Age Group,,,,,,,,,,,,
,,,,,,,< 1 year,1-4 years,5-14 years,15-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65-74 years,75-84 years,85+ years,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,All drugs,,,2.1,0.8,17.2,52.9,62.0,53.8,0.3,45.3,16.8,4.9,4.3,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Any Opioid,,,1.2,0.7,14.6,44.6,48.6,38.3,0.2,30.6,10.2,1.9,1.4,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Benzodiazepines,,,,,2.6,6.7,7.4,5.8,,4.7,1.8,0.6,0.7,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Cannabis,,,0.0,0.0,0.3,0.7,0.7,0.5,0.0,0.4,0.1,0.0,0.0,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Cocaine,,,,0.1,2.7,10.5,13.9,14.1,,12.6,3.8,0.5,,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - heroin,,,0.0,0.0,0.8,4.7,5.6,4.7,0.0,4.2,1.5,0.2,0.0,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup - methadone,,,0.0,0.0,0.2,1.3,2.1,2.0,0.0,2.2,0.9,0.1,0.0,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including fentanyl,,,1.1,0.6,13.8,40.9,43.8,33.1,0.1,25.2,7.3,0.9,0.4,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Opioid subgroup – including oxycodone and hydrocodone,,,,,1.4,5.9,7.3,7.2,0.0,6.8,3.2,1.0,1.0,,
2021,Both sexes,"All (preventable, intentional, undetermined)",,Psychostimulants – incl. methamphetamine,,,0.8,,3.5,16.4,21.2,18.0,,13.2,3.7,0.4,,,
