"Notes"	"State"	"State Code"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	11	4242	Unreliable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	11	4325	Unreliable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	15	43370	Unreliable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	27	38607	69.9
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	12	24598	Unreliable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	34	25732	132.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	18	25700	Unreliable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	35	24810	141.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	22	32654	67.4
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	45	29591	152.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	45	38947	115.5
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	82	35365	231.9
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	60	43129	139.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	111	39637	280.0
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	106	42549	249.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	159	39210	405.5
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	123	38705	317.8
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	224	36203	618.7
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	180	32756	549.5
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	300	30524	982.8
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	232	27431	845.8
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	377	24052	1567.4
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	356	23207	1534.0
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	516	19018	2713.2
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	640	20532	3117.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	729	15377	4740.8
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	887	17648	5026.1
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	959	11888	8067.0
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"85-89 years"	"85-89"	"Female"	"F"	"White"	"2106-3"	1251	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"85-89 years"	"85-89"	"Male"	"M"	"White"	"2106-3"	939	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"90-94 years"	"90-94"	"Female"	"F"	"White"	"2106-3"	1140	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"90-94 years"	"90-94"	"Male"	"M"	"White"	"2106-3"	643	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"95-99 years"	"95-99"	"Female"	"F"	"White"	"2106-3"	563	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"95-99 years"	"95-99"	"Male"	"M"	"White"	"2106-3"	204	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"100+ years"	"100+"	"Female"	"F"	"White"	"2106-3"	133	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Bristol County, RI"	"44001"	"100+ years"	"100+"	"Male"	"M"	"White"	"2106-3"	30	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	85	16504	515.0
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	92	17213	534.5
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	11	68913	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	22	72758	30.2
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	16	100285	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	13	103328	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	14	109415	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	31	97071	31.9
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	52	105160	49.4
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	45	89671	50.2
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	118	92340	127.8
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	56	101975	54.9
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	136	102260	133.0
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	89	110102	80.8
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	180	107372	167.6
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	123	122337	100.5
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	216	116959	184.7
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	187	133645	139.9
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	337	126595	266.2
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	336	142275	236.2
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	516	132836	388.4
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	483	143282	337.1
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	12	2150	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	792	133462	593.4
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	648	132364	489.6
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	20	1879	1064.4
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	1050	120614	870.5
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	886	110376	802.7
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	11	1546	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	18	1452	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	1226	98752	1241.5
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	1119	89519	1250.0
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	14	1008	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	1458	77091	1891.3
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	10	860	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	12	712	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	1501	74856	2005.2
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	11	645	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	17	650	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	1881	58658	3206.7
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	11	470	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	2265	65123	3478.0
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	11	346	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	2286	45783	4993.1
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	11	365	Unreliable
	"Rhode Island"	"44"	"Kent County, RI"	"44003"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	15	304	Unreliable
